cpg_id,beta_value
cg00017441,0.01
cg00017461,0.04
cg00017475,0.89
cg00017489,0.31
cg00017546,0.84
cg00017601,0.77
cg00017826,0.87
cg00017842,0.62
cg00017931,0.31
cg00017970,0.57
cg00018010,0.95
cg00018024,0.02
cg00018044,0.89
cg00018103,0.92
cg00018128,0.07
cg00018181,0.47
cg00018229,0.09
cg00018524,0.07
cg00018539,0.93
cg00018557,0.03
cg00018606,0.12
cg00018696,0.97
cg00018845,0.15
cg00018896,0.87
cg00019082,0.91
cg00019085,0.07
cg00019093,0.06
cg00019118,0.8
cg00019137,0.02
cg00019196,0.93
cg00019275,0.84
cg00019301,0.09
cg00019308,0.94
cg00019366,0.93
cg00019377,0.16
cg00019458,0.93
cg00019511,0.91
cg00019576,0.99
cg00019654,0.7
cg00019678,0.94
cg00019759,0.3
cg00019809,0.01
cg00019826,0.8
cg00019838,0.96
cg00019841,0.92
cg00019877,0.92
cg00020052,0.11
cg00020175,0.9
cg00020191,0.1
cg00020340,0.97
cg00020348,0.84
cg00020390,0.9
cg00020405,0.23
cg00020419,0.95
cg00020446,0.88
cg00020474,0.35
cg00020622,0.01
cg00020720,0.08
cg00020794,0.8
cg00020799,0.91
cg00020991,0.79
cg00021028,0.11
cg00021030,0.85
cg00021108,0.03
cg00021152,0.97
cg00021166,0.09
cg00021237,0.24
cg00021256,0.11
cg00021275,0.71
cg00021325,0.22
cg00021476,0.7
cg00021527,0.07
cg00021532,0.3
cg00021539,0.01
cg00021540,0.07
cg00021550,0.95
cg00021558,0.12
cg00021600,0.34
cg00021762,0.91
cg00021783,0.09
cg00021933,0.94
cg00021944,0.07
cg00021945,0.01
cg00021978,0.94
cg00022024,0.71
cg00022054,0.59
cg00022076,0.92
cg00022138,0.08
cg00022145,0.86
cg00022235,0.91
cg00022259,0.91
cg00022308,0.08
cg00022594,0.93
cg00022633,0.07
cg00022688,0.11
cg00022866,0.5
cg00022871,0.73
cg00022900,0.79
cg00022997,0.62
cg00023001,0.08
cg00023132,0.05
cg00023154,0.1
cg00023168,0.04
cg00023174,0.74
cg00023185,0.03
cg00023233,0.11
cg00023288,0.04
cg00023321,0.94
cg00023351,0.93
cg00023411,0.81
cg00023464,0.64
cg00023673,0.92
cg00023695,0.01
cg00023702,0.94
cg00023726,0.85
cg00023808,0.92
cg00023919,0.46
cg00024086,0.19
cg00024280,0.09
cg00024396,0.08
cg00024404,0.18
cg00024416,0.48
cg00024443,0.74
cg00024471,0.64
cg00024472,0.01
cg00024494,0.16
cg00024722,0.15
cg00024812,0.05
cg00024967,0.12
cg00024989,0.24
cg00025138,0.01
cg00025155,0.92
cg00025211,0.38
cg00025347,0.94
cg00025357,0.08
cg00025405,0.78
cg00025496,0.8
cg00025643,0.79
cg00025663,0.84
cg00025715,0.9
cg00025795,0.86
cg00025823,0.72
cg00025877,0.02
cg00025981,0.02
cg00025991,0.57
cg00026030,0.12
cg00026141,0.83
cg00026222,0.07
cg00026230,0.05
cg00026327,0.83
cg00026362,0.57
cg00026412,0.92
cg00026457,0.98
cg00026458,0.94
cg00026553,0.82
cg00026603,0.93
cg00026703,0.27
cg00026776,0.95
cg00026803,0.72
cg00026853,0.02
cg00026919,0.95
cg00026974,0.09
cg00027081,0.87
cg00027083,0.03
cg00027114,0.92
cg00027162,0.39
cg00027400,0.26
cg00027466,0.87
cg00027570,0.68
cg00027637,0.32
cg00027650,0.76
cg00027669,0.7
cg00027674,0.14
cg00027729,0.93
cg00027990,0.83
cg00028013,0.59
cg00028022,0.6
cg00028034,0.65
cg00028056,0.86
cg00028135,0.87
cg00028184,0.14
cg00028211,0.25
cg00028318,0.75
cg00028336,0.94
cg00028429,0.35
cg00028431,0.87
cg00028455,0.07
cg00028515,0.89
cg00028598,0.97
cg00028636,0.06
cg00028677,0.92
cg00028678,0.39
cg00028749,0.13
cg00028757,0.99
cg00028829,0.1
cg00028844,0.77
cg00028870,0.06
cg00028918,0.14
cg00028929,0.74
cg00028935,0.12
cg00028993,0.93
cg00029161,0.12
cg00029233,0.09
cg00029246,0.62
cg00029284,0.7
cg00029353,0.05
cg00029397,0.15
cg00029521,0.68
cg00029583,0.94
cg00029640,0.89
cg00029678,0.91
cg00029821,0.94
cg00029822,0.01
cg00029825,0.91
cg00029826,0.06
cg00029831,0.06
cg00029922,0.94
cg00029973,0.95
cg00029979,0.9
cg00030005,0.84
cg00030047,0.22
cg00030291,0.07
cg00030420,0.81
cg00030427,0.84
cg00030432,0.5
cg00030466,0.99
cg00030501,0.93
cg00030508,0.17
cg00030523,0.93
cg00030604,0.65
cg00030627,0.93
cg00030682,0.94
cg00030774,0.33
cg00030795,0.01
cg00030807,0.85
cg00030816,0.09
cg00030909,0.91
cg00031013,0.85
cg00031063,0.95
cg00031105,0.77
cg00031162,0.74
cg00031187,0.88
cg00031256,0.01
cg00031277,0.97
cg00031303,0.05
cg00031340,0.05
cg00031346,0.58
cg00031402,0.9
cg00031443,0.05
cg00031456,0.01
cg00031476,0.11
cg00031491,0.91
cg00031663,0.0
cg00031708,0.93
cg00031722,0.94
cg00031779,0.92
cg00031896,0.28
cg00032192,0.94
cg00032205,0.17
cg00032227,0.01
cg00032366,0.68
cg00032490,0.97
cg00032609,0.49
cg00032610,0.94
cg00032643,0.96
cg00032664,0.91
cg00032756,0.11
cg00032789,0.1
cg00032805,0.14
cg00032852,0.06
cg00032879,0.82
cg00032884,0.74
cg00032912,0.11
cg00032959,0.9
cg00033155,0.8
cg00033165,0.92
cg00033213,0.56
cg00033220,0.03
cg00033304,0.92
cg00033334,0.91
cg00033457,0.04
cg00033490,0.97
cg00033533,0.06
cg00033551,0.87
cg00033643,0.02
cg00033666,0.28
cg00033773,0.89
cg00033806,0.96
cg00033834,0.84
cg00033909,0.71
cg00033915,0.98
cg00034003,0.76
cg00034019,0.01
cg00034039,0.14
cg00034076,0.09
cg00034101,0.84
cg00034130,0.14
cg00034154,0.89
cg00034376,0.07
cg00034416,0.01
cg00034433,0.1
cg00034555,0.05
cg00034574,0.94
cg00034604,0.9
cg00034650,0.99
cg00034755,0.58
cg00034769,0.53
cg00035000,0.08
cg00035074,0.88
cg00035220,0.86
cg00035237,0.02
cg00035249,0.02
cg00035268,0.95
cg00035316,0.06
cg00035347,0.69
cg00035398,0.01
cg00035449,0.1
cg00035453,0.06
cg00035623,0.07
cg00035630,0.94
cg00035812,0.08
cg00035847,0.18
cg00035889,0.94
cg00035923,0.82
cg00035937,0.84
cg00035945,0.06
cg00035980,0.94
cg00036011,0.07
cg00036110,0.38
cg00036119,0.49
cg00036137,0.89
cg00036258,0.91
cg00036324,0.85
cg00036328,0.08
cg00036347,0.26
cg00036386,0.03
cg00036408,0.23
cg00036570,0.87
cg00036585,0.81
cg00036588,0.9
cg00036599,0.95
cg00036664,0.13
cg00036723,0.54
cg00036732,0.67
cg00036871,0.62
cg00036976,0.35
cg00037013,0.22
cg00037153,0.07
cg00037186,0.13
cg00037223,0.83
cg00037314,0.99
cg00037400,0.08
cg00037406,0.84
cg00037450,0.02
cg00037457,0.27
cg00037681,0.07
cg00037763,0.89
cg00037856,0.87
cg00037930,0.92
cg00037940,0.95
cg00037952,0.9
cg00038239,0.99
cg00038298,0.95
cg00038342,0.9
cg00038436,0.13
cg00038446,0.87
cg00038584,0.95
cg00038665,0.96
cg00038736,0.52
cg00038857,0.81
cg00038877,0.9
cg00039044,0.03
cg00039070,0.94
cg00039129,0.91
cg00039147,0.66
cg00039176,0.54
cg00039326,0.81
cg00039385,0.1
cg00039441,0.02
cg00039463,0.68
cg00039478,0.81
cg00039480,0.82
cg00039564,0.11
cg00039627,0.03
cg00039794,0.02
cg00039864,0.77
cg00040007,0.09
cg00040008,0.08
cg00040027,0.96
cg00040047,0.94
cg00040312,0.05
cg00040322,0.92
cg00040380,0.04
cg00040423,0.15
cg00040426,0.8
cg00040427,0.9
cg00040466,0.66
cg00040566,0.99
cg00040569,0.06
cg00040588,0.29
cg00040590,0.81
cg00040708,0.85
cg00040749,0.95
cg00040861,0.06
cg00040862,0.89
cg00040873,0.21
cg00040945,0.01
cg00041014,0.86
cg00041047,0.95
cg00041084,0.08
cg00041328,0.03
cg00041368,0.94
cg00041401,0.05
cg00041599,0.12
cg00041666,0.87
cg00041872,0.17
cg00041873,0.95
cg00041898,0.93
cg00042059,0.94
cg00042081,0.95
cg00042156,0.84
cg00042186,0.21
cg00042263,0.8
cg00042356,0.01
cg00042409,0.51
cg00042478,0.98
cg00042568,0.21
cg00042683,0.97
cg00042837,0.07
cg00042874,0.01
cg00042882,0.14
cg00043004,0.18
cg00043005,0.88
cg00043043,0.93
cg00043080,0.94
cg00043095,0.03
cg00043364,0.91
cg00043371,0.01
cg00043379,0.06
cg00043444,0.95
cg00043510,0.11
cg00043524,0.95
cg00043564,0.3
cg00043591,0.8
cg00043599,0.66
cg00043788,0.16
cg00043790,0.88
cg00043800,0.66
cg00044050,0.08
cg00044097,0.84
cg00044170,0.01
cg00044245,0.16
cg00044289,0.06
cg00044299,0.94
cg00044318,0.8
cg00044372,0.8
cg00044463,0.04
cg00044466,0.6
cg00044501,0.68
cg00044505,0.4
cg00044665,0.42
cg00044729,0.91
cg00044796,0.3
cg00044950,0.97
cg00044995,0.21
cg00045061,0.08
cg00045070,0.66
cg00045114,0.52
cg00045118,0.7
cg00045190,0.0
cg00045227,0.46
cg00045275,0.05
cg00045303,0.02
cg00045439,0.08
cg00045515,0.85
cg00045607,0.07
cg00045690,0.92
cg00045753,0.91
cg00045762,0.86
cg00045900,0.93
cg00045902,0.28
cg00045910,0.46
cg00046018,0.02
cg00046026,0.58
cg00046041,0.1
cg00046105,0.86
cg00046410,0.95
cg00046499,0.14
cg00046560,0.09
cg00046744,0.23
cg00046802,0.89
cg00046815,0.07
cg00046899,0.53
cg00046991,0.93
cg00047050,0.16
cg00047052,0.87
cg00047079,0.84
cg00047287,0.91
cg00047469,0.14
cg00047501,0.92
cg00047683,0.94
cg00047694,0.24
cg00047815,0.93
cg00047843,0.88
cg00047844,0.01
cg00048178,0.11
cg00048370,0.64
cg00048436,0.19
cg00048697,0.89
cg00048743,0.35
cg00048746,0.1
cg00048759,0.42
cg00049033,0.06
cg00049047,0.21
cg00049102,0.96
cg00049156,0.94
cg00049253,0.13
cg00049323,0.3
cg00049380,0.94
cg00049382,0.14
cg00049400,0.99
cg00049411,0.12
cg00049440,0.18
cg00049595,0.45
cg00049616,0.92
cg00049664,0.03
cg00049691,0.96
cg00049709,0.91
cg00049718,0.01
cg00049729,0.59
cg00049868,0.98
cg00049883,0.35
cg00049892,0.93
cg00049973,0.01
cg00050152,0.02
cg00050224,0.94
cg00050247,0.05
cg00050271,0.91
cg00050289,0.97
cg00050294,0.84
cg00050312,0.11
cg00050375,0.93
cg00050402,0.58
cg00050482,0.93
cg00050496,0.25
cg00050590,0.02
cg00050618,0.75
cg00050692,0.42
cg00050792,0.93
cg00050938,0.93
cg00050984,0.01
cg00051068,0.07
cg00051154,0.09
cg00051307,0.9
cg00051546,0.07
cg00051590,0.91
cg00051595,0.04
cg00051662,0.88
cg00051704,0.92
cg00051782,0.12
cg00051979,0.07
cg00052046,0.91
cg00052385,0.84
cg00052422,0.01
cg00052433,0.95
cg00052482,0.88
cg00052550,0.02
cg00052578,0.1
cg00052772,0.24
cg00052853,0.88
cg00052903,0.93
cg00052932,0.13
cg00052964,0.9
cg00053073,0.15
cg00053135,0.94
cg00053292,0.11
cg00053373,0.16
cg00053393,0.3
cg00053507,0.11
cg00053647,0.09
cg00053661,0.06
cg00053728,0.94
cg00053755,0.94
cg00053851,0.87
cg00053916,0.73
cg00053927,0.9
cg00054173,0.86
cg00054197,0.82
cg00054210,0.41
cg00054301,0.84
cg00054408,0.09
cg00054472,0.22
cg00054496,0.94
cg00054511,0.05
cg00054525,0.03
cg00054702,0.14
cg00054706,0.08
cg00054771,0.08
cg00054774,0.51
cg00054791,0.06
cg00054890,0.89
cg00054971,0.98
cg00055052,0.84
cg00055073,0.26
cg00055292,0.76
cg00055341,0.39
cg00055434,0.95
cg00055510,0.94
cg00055555,0.19
cg00055557,0.16
cg00055603,0.84
cg00055617,0.12
cg00055679,0.27
cg00055771,0.86
cg00055848,0.06
cg00055981,0.89
cg00056002,0.93
cg00056066,0.58
cg00056074,0.13
cg00056202,0.24
cg00056433,0.37
cg00056497,0.67
cg00056541,0.57
cg00056578,0.16
cg00056624,0.04
cg00056676,0.11
cg00056719,0.01
cg00056754,0.76
cg00056767,0.09
cg00057092,0.93
cg00057114,0.88
cg00057208,0.95
cg00057231,0.66
cg00057272,0.5
cg00057317,0.09
cg00057324,0.91
cg00057393,0.1
cg00057476,0.79
cg00057593,0.86
cg00057661,0.07
cg00057663,0.19
cg00057667,0.87
cg00057676,0.05
cg00057700,0.06
cg00057722,0.41
cg00057791,0.9
cg00057966,0.06
cg00058009,0.6
cg00058026,0.88
cg00058291,0.72
cg00058296,0.93
cg00058299,0.1
cg00058413,0.94
cg00058515,0.65
cg00058644,0.9
cg00058708,0.27
cg00058771,0.06
cg00058786,0.07
cg00058799,0.86
cg00058857,0.9
cg00058879,0.29
cg00058887,0.89
cg00058923,0.94
cg00058938,0.47
cg00059015,0.94
cg00059024,0.03
cg00059053,0.05
cg00059161,0.76
cg00059165,0.86
cg00059225,0.43
cg00059240,0.99
cg00059246,0.33
cg00059309,0.88
cg00059399,0.48
cg00059424,0.06
cg00059459,0.32
cg00059652,0.54
cg00059662,0.86
cg00059699,0.88
cg00059707,0.88
cg00059911,0.11
cg00059930,0.56
cg00060061,0.84
cg00060287,0.06
cg00060304,0.1
cg00060320,0.05
cg00060374,0.85
cg00060403,0.04
cg00060484,0.51
cg00060605,0.94
cg00060627,0.9
cg00060641,0.79
cg00060649,0.91
cg00060762,0.05
cg00060800,0.47
cg00060836,0.72
cg00060956,0.92
cg00061031,0.77
cg00061039,0.91
cg00061086,0.08
cg00061150,0.87
cg00061185,0.97
cg00061264,0.1
cg00061306,0.94
cg00061413,0.89
cg00061629,0.18
cg00061635,0.41
cg00061678,0.92
cg00061695,0.5
cg00061792,0.59
cg00061805,0.96
cg00061811,0.91
cg00061989,0.05
cg00062119,0.01
cg00062282,0.39
cg00062312,0.07
cg00062437,0.61
cg00062776,0.94
cg00063006,0.71
cg00063066,0.06
cg00063077,0.02
cg00063111,0.24
cg00063144,0.93
cg00063174,0.02
cg00063246,0.93
cg00063357,0.88
cg00063369,0.93
cg00063456,0.95
cg00063471,0.01
cg00063535,0.84
cg00063567,0.02
cg00063649,0.03
cg00063703,0.14
cg00063734,0.93
cg00063744,0.05
cg00063748,0.69
cg00063773,0.47
cg00063828,0.2
cg00063945,0.06
cg00063979,0.88
cg00064020,0.78
cg00064051,0.01
cg00064080,0.91
cg00064235,0.19
cg00064255,0.02
cg00064261,0.23
cg00064284,0.09
cg00064296,0.88
cg00064347,0.01
cg00064415,0.01
cg00064589,0.94
cg00064778,0.35
cg00064950,0.1
cg00065048,0.42
cg00065071,0.12
cg00065088,0.86
cg00065215,0.03
cg00065302,0.87
cg00065385,0.95
cg00065396,0.73
cg00065408,0.1
cg00065569,0.94
cg00065570,0.64
cg00065919,0.03
cg00065921,0.05
cg00065935,0.08
cg00065957,0.16
cg00066184,0.82
cg00066198,0.09
cg00066239,0.86
cg00066270,0.87
cg00066351,0.72
cg00066449,0.05
cg00066468,0.02
cg00066499,0.01
cg00066508,0.91
cg00066554,0.91
cg00066627,0.84
cg00066663,0.29
cg00066671,0.05
cg00066722,0.84
cg00066805,0.88
cg00066816,0.41
cg00066817,0.93
cg00066828,0.96
cg00066925,0.96
cg00066942,0.17
cg00067018,0.15
cg00067058,0.88
cg00067102,0.08
cg00067124,0.96
cg00067126,0.09
cg00067196,0.86
cg00067274,0.63
cg00067414,0.06
cg00067471,0.23
cg00067518,0.87
cg00067588,0.91
cg00067720,0.36
cg00067742,0.93
cg00067768,0.94
cg00067884,0.96
cg00068102,0.92
cg00068153,0.89
cg00068155,0.15
cg00068160,0.09
cg00068305,0.04
cg00068377,0.99
cg00068412,0.96
cg00068428,0.66
cg00068433,0.85
cg00068503,0.18
cg00068621,0.05
cg00068622,0.01
cg00068779,0.89
cg00068810,0.26
cg00068909,0.9
cg00069002,0.52
cg00069014,0.94
cg00069017,0.02
cg00069059,0.89
cg00069242,0.09
cg00069261,0.1
cg00069314,0.02
cg00069391,0.9
cg00069417,0.9
cg00069432,0.97
cg00069642,0.32
cg00069771,0.99
cg00069815,0.99
cg00069860,0.05
cg00069969,0.94
cg00070042,0.27
cg00070052,0.57
cg00070181,0.93
cg00070318,0.18
cg00070383,0.24
cg00070460,0.83
cg00070680,0.2
cg00070814,0.01
cg00070899,0.91
cg00070908,0.95
cg00070912,0.82
cg00071012,0.86
cg00071051,0.72
cg00071161,0.86
cg00071210,0.91
cg00071241,0.87
cg00071274,0.97
cg00071360,0.15
cg00071391,0.94
cg00071408,0.99
cg00071446,0.96
cg00071618,0.9
cg00071658,0.96
cg00071751,0.01
cg00071887,0.87
cg00071950,0.08
cg00072099,0.02
cg00072216,0.01
cg00072369,0.03
cg00072407,0.8
cg00072426,0.62
cg00072675,0.77
cg00072689,0.52
cg00072720,0.2
cg00072957,0.93
cg00073003,0.23
cg00073010,0.08
cg00073090,0.46
cg00073244,0.87
cg00073460,0.49
cg00073543,0.3
cg00073549,0.71
cg00073716,0.16
cg00073771,0.03
cg00073780,0.04
cg00073794,0.97
cg00073837,0.22
cg00074086,0.23
cg00074145,0.25
cg00074184,0.11
cg00074244,0.1
cg00074348,0.55
cg00074415,0.87
cg00074471,0.95
cg00074746,0.92
cg00074818,0.56
cg00074851,0.99
cg00075103,0.81
cg00075123,0.92
cg00075192,0.02
cg00075204,0.08
cg00075467,0.55
cg00075507,0.62
cg00075589,0.01
cg00075608,0.92
cg00075615,0.88
cg00075620,0.89
cg00075634,0.13
cg00075768,0.03
cg00075920,0.22
cg00075956,0.87
cg00075967,0.85
cg00075975,0.81
cg00076195,0.06
cg00076325,0.32
cg00076353,0.01
cg00076497,0.09
cg00076538,0.05
cg00076555,0.67
cg00076645,0.07
cg00076653,0.48
cg00076774,0.75
cg00076797,0.81
cg00076998,0.04
cg00077281,0.99
cg00077312,0.94
cg00077426,0.92
cg00077457,0.95
cg00077547,0.95
cg00077566,0.95
cg00077606,0.12
cg00077838,0.88
cg00077877,0.9
cg00077898,0.99
cg00077904,0.84
cg00078025,0.27
cg00078194,0.07
cg00078221,0.11
cg00078245,0.71
cg00078259,0.97
cg00078318,0.12
cg00078456,0.39
cg00078759,0.98
cg00078857,0.75
cg00078861,0.83
cg00078940,0.01
cg00078968,0.1
cg00078996,0.72
cg00079023,0.62
cg00079056,0.89
cg00079216,0.11
cg00079219,0.2
cg00079224,0.93
cg00079302,0.89
cg00079388,0.94
cg00079563,0.02
cg00079598,0.7
cg00079638,0.01
cg00079785,0.87
cg00079891,0.03
cg00080012,0.05
cg00080059,0.07
cg00080060,0.87
cg00080068,0.93
cg00080118,0.06
cg00080123,0.03
cg00080125,0.56
cg00080148,0.95
cg00080252,0.88
cg00080312,0.11
cg00080333,0.2
cg00080423,0.94
cg00080706,0.9
cg00080972,0.38
cg00080987,0.52
cg00081019,0.99
cg00081084,0.82
cg00081087,0.63
cg00081251,0.09
cg00081324,0.65
cg00081347,0.97
cg00081439,0.46
cg00081574,0.05
cg00081602,0.94
cg00081714,0.9
cg00081799,0.98
cg00081835,0.95
cg00081919,0.68
cg00081935,0.08
cg00081975,0.07
cg00082140,0.49
cg00082178,0.93
cg00082182,0.07
cg00082219,0.35
cg00082285,0.85
cg00082310,0.13
cg00082411,0.93
cg00082426,0.06
cg00082491,0.02
cg00082540,0.65
cg00082713,0.09
cg00082770,0.56
cg00082833,0.99
cg00082874,0.11
cg00082897,0.89
cg00082939,0.56
cg00083018,0.25
cg00083042,0.94
cg00083046,0.15
cg00083059,0.12
cg00083072,0.91
cg00083139,0.01
cg00083193,0.81
cg00083194,0.07
cg00083206,0.76
cg00083262,0.18
cg00083265,0.94
cg00083399,0.88
cg00083535,0.95
cg00083596,0.87
cg00083616,0.87
cg00083659,0.11
cg00083685,0.89
cg00083765,0.01
cg00083801,0.99
cg00083833,0.31
cg00083937,0.62
cg00083959,0.92
cg00083993,0.91
cg00084019,0.87
cg00084094,0.09
cg00084184,0.88
cg00084271,0.56
cg00084338,0.46
cg00084347,0.76
cg00084398,0.7
cg00084432,0.96
cg00084435,0.85
cg00084577,0.56
cg00084643,0.83
cg00084687,0.02
cg00084720,0.82
cg00085013,0.48
cg00085029,0.06
cg00085061,0.82
cg00085123,0.24
cg00085199,0.91
cg00085256,0.92
cg00085281,0.82
cg00085370,0.65
cg00085416,0.42
cg00085430,0.79
cg00085434,0.18
cg00085448,0.12
cg00085493,0.25
cg00085732,0.74
cg00085747,0.91
cg00085790,0.81
cg00085830,0.1
cg00086266,0.03
cg00086283,0.94
cg00086297,0.08
cg00086346,0.71
cg00086426,0.86
cg00086493,0.62
cg00086670,0.16
cg00086730,0.85
cg00087005,0.02
cg00087023,0.95
cg00087067,0.68
cg00087073,0.91
cg00087153,0.87
cg00087182,0.99
cg00087195,0.01
cg00087244,0.84
cg00087273,0.06
cg00087274,0.82
cg00087368,0.23
cg00087417,0.08
cg00087420,0.91
cg00087425,0.13
cg00087482,0.95
cg00087511,0.85
cg00087568,0.92
cg00087645,0.94
cg00087728,0.04
cg00087735,0.9
cg00087792,0.96
cg00087884,0.34
cg00087898,0.94
cg00087963,0.9
cg00087971,0.96
cg00088007,0.25
cg00088026,0.02
cg00088042,0.06
cg00088080,0.85
cg00088130,0.11
cg00088148,0.91
cg00088183,0.27
cg00088227,0.02
cg00088299,0.01
cg00088410,0.89
cg00088464,0.96
cg00088504,0.98
cg00088507,0.93
cg00088797,0.81
cg00088844,0.17
cg00088880,0.95
cg00088916,0.87
cg00089091,0.15
cg00089101,0.09
cg00089154,0.92
